67	59	56	66	69	64	68	58	1	57	72	60	54	0	73	61	55	70	63	9	11	65	52	5	77	51	62	78	71	10	
42	84	33	32	39	83	40	79	87	55	10	86	88	43	89	31	57	59	6	9	85	82	37	50	61	5	41	56	7	29	
72	66	69	73	68	70	67	63	64	58	71	56	62	1	0	60	57	59	52	65	5	51	55	54	12	11	53	13	14	61	
17	16	4	15	26	25	22	0	3	2	21	36	34	35	46	20	44	23	19	75	24	45	76	74	18	31	1	27	39	43	
27	26	24	25	21	19	15	22	31	12	18	20	81	30	48	0	16	23	17	10	73	4	72	38	9	14	60	2	80	61	
87	37	42	84	40	50	89	39	88	79	43	86	76	85	82	44	36	32	80	47	75	35	34	83	41	49	33	81	38	74	
43	42	44	39	40	37	36	41	50	34	84	2	75	47	45	35	79	83	38	80	3	85	87	49	32	33	76	4	82	89	
38	75	39	27	40	4	41	86	2	10	89	26	79	87	61	12	9	80	42	44	43	33	30	6	14	60	21	81	32	83	
61	11	60	59	58	10	72	56	69	5	12	70	57	83	9	73	82	55	64	24	68	19	51	66	54	48	80	81	6	14	
67	73	64	65	72	71	66	68	70	46	59	58	1	0	69	63	54	56	62	80	60	51	57	44	18	12	19	55	47	34	
67	64	65	72	66	59	55	69	73	68	63	54	71	56	70	58	1	62	18	47	0	7	9	57	48	24	60	61	5	10	
9	13	11	12	7	5	14	69	10	8	63	70	62	72	56	59	57	61	6	64	66	28	60	73	68	55	15	29	32	58	
25	26	27	17	16	15	24	19	31	21	30	22	18	74	2	38	4	20	39	36	81	3	14	33	86	23	49	75	48	88	
67	1	66	65	0	64	68	71	54	4	62	73	63	18	55	72	36	34	53	59	37	3	57	70	49	2	56	35	46	40	
82	83	84	75	74	85	76	44	88	39	80	43	42	89	30	2	87	33	37	56	10	60	86	58	32	35	81	79	31	57	
69	56	70	5	63	52	57	68	60	51	8	66	6	7	58	55	28	73	62	77	53	54	72	64	13	61	11	12	14	59	
25	30	26	31	27	21	2	74	86	4	75	88	19	89	51	38	24	81	16	33	39	17	28	29	54	15	0	32	53	12	
35	34	37	36	76	47	50	44	45	46	40	49	3	39	43	2	85	18	1	87	74	75	16	42	84	4	88	89	17	26	
13	62	8	7	63	64	54	28	65	14	29	52	68	18	55	12	57	9	56	1	5	67	70	6	31	53	51	59	66	0	
70	60	73	12	11	21	69	61	19	72	0	66	71	20	10	5	58	14	68	57	9	59	51	6	56	63	4	53	62	15	
70	73	5	69	60	56	11	57	58	68	63	72	12	61	66	8	59	62	28	6	71	13	14	51	7	52	64	10	55	29	
54	27	19	53	21	12	38	64	59	18	67	65	51	49	55	81	86	68	0	61	6	57	10	73	79	14	80	9	66	7	
20	19	15	21	17	18	25	16	26	27	0	24	14	12	23	73	22	4	29	71	9	3	31	65	13	61	66	60	2	30	
66	1	0	67	71	73	68	63	70	64	65	72	4	69	62	56	57	14	12	58	55	54	6	3	2	60	5	8	59	9	
75	76	80	31	87	74	79	83	85	86	81	84	89	88	82	30	12	78	43	44	57	40	10	55	27	50	32	59	54	38	
46	44	34	36	43	35	3	45	4	16	17	37	2	15	80	21	75	0	26	39	40	20	19	25	49	50	41	76	22	47	
70	63	69	5	68	62	71	73	8	66	6	56	72	57	7	64	12	13	67	14	51	60	1	28	0	52	53	55	54	11	
30	88	74	75	28	51	31	89	2	86	82	52	26	25	76	32	87	21	60	33	29	84	57	4	83	81	80	16	36	44	
21	25	27	26	4	31	30	19	2	20	0	75	29	17	12	15	38	53	51	28	44	16	60	80	14	86	24	3	81	74	
